source,target,relation
PROF_11,ORG:Climate Action,Studied at
PROF_11,ORG:Economics And Finance,Studied at
PROF_11,ORG:Universidad L País Vasco,Studied at
PROF_11,EDU:Ph.D,Has degree
PROF_11,SUBJECT:Economics,Teaches
PROF_12,ORG:Aalto University,Studied at
PROF_12,ORG:Industrial Design And Product Development Engineering,Studied at
PROF_12,ORG:Tecnun University,Studied at
PROF_12,SUBJECT:Navarra,Teaches
PROF_12,LOC:Aleg,Worked in
PROF_12,LOC:Ciszak Dalmas,Worked in
PROF_12,LOC:Fab,Worked in
PROF_12,LOC:Indonesia,Worked in
PROF_12,LOC:Italy,Worked in
PROF_12,LOC:Madrid,Worked in
PROF_12,LOC:Maz,Worked in
PROF_12,LOC:Milan,Worked in
PROF_12,LOC:Portugal,Worked in
PROF_12,LOC:Reviso,Worked in
PROF_12,LOC:Rica Communication Research,Worked in
PROF_12,LOC:Rquiola St,Worked in
PROF_12,LOC:San Sebastian,Worked in
PROF_12,LOC:Spain,Worked in
PROF_12,LOC:Sura,Worked in
PROF_13,ORG:Aalto University,Studied at
PROF_13,ORG:University Of Helsinki,Studied at
PROF_13,EDU:Master in Psychology,Has degree
PROF_13,EDU:Ph.D,Has degree
PROF_13,SUBJECT:Helsinki,Teaches
PROF_13,SUBJECT:Psychology,Teaches
PROF_13,SUBJECT:Work Psychology,Teaches
PROF_14,ORG:Electrical And Electronic Engineering,Studied at
PROF_14,ORG:Integrated Information Systems And Communications,Studied at
PROF_14,ORG:University Of Jordan,Studied at
PROF_14,ORG:University Of Leeds,Studied at
PROF_14,EDU:Bachelor in Electrical and Electronic Engineering,Has degree
PROF_14,EDU:MBA,Has degree
PROF_14,EDU:Ph.D,Has degree
PROF_14,SUBJECT:Electrical and Electronic Engineering,Teaches
PROF_14,SUBJECT:Global Management,Teaches
PROF_14,SUBJECT:Integrated Information Systems and Communications,Teaches
PROF_14,SUBJECT:Jordan,Teaches
PROF_14,SUBJECT:Leeds,Teaches
PROF_14,ORG:Aircom International,Worked at
PROF_14,ORG:Boston Consulting Group,Worked at
PROF_14,ORG:Cisco Systems,Worked at
PROF_14,ORG:Service Provider Mobility,Worked at
PROF_14,LOC:Findme,Worked in
PROF_14,LOC:Uae,Worked in
PROF_16,ORG:B. S. Engineering,Studied at
PROF_16,ORG:Brown University,Studied at
PROF_16,ORG:Tufts University,Studied at
PROF_16,EDU:B.A,Has degree
PROF_16,EDU:B.S,Has degree
PROF_16,EDU:M.A,Has degree
PROF_16,ORG:Research And Development,Worked at
PROF_16,LOC:Spain,Worked in
PROF_18,ORG:Iversit Cattolica,Studied at
PROF_18,ORG:Trinity College Dublin,Studied at
PROF_18,EDU:Bachelor in Letters,Has degree
PROF_18,EDU:MBA,Has degree
PROF_18,EDU:Master in Economics and International Relations,Has degree
PROF_18,SUBJECT:Arts in English Language and Literature,Teaches
PROF_18,SUBJECT:Business Administration IE Business School,Teaches
PROF_18,SUBJECT:Economics and International Relations,Teaches
PROF_18,SUBJECT:Letters,Teaches
PROF_18,ORG:Access To Education,Worked at
PROF_18,ORG:Asia Debt Management Foundation,Worked at
PROF_18,ORG:Global University Systems,Worked at
PROF_18,ORG:Higher Education Partners,Worked at
PROF_18,ORG:Impact Hub Network,Worked at
PROF_18,ORG:Impact Hub Ph,Worked at
PROF_18,LOC:Cambodia,Worked in
PROF_18,LOC:India,Worked in
PROF_18,LOC:Nom Penh,Worked in
PROF_19,ORG:Editorial Bosch,Studied at
PROF_19,ORG:Les Y Productos De Inversión,Studied at
PROF_19,ORG:Los Me,Studied at
PROF_19,ORG:Operaciones Me,Studied at
PROF_19,ORG:University Of Granada Publications,Studied at
PROF_19,EDU:LLM,Has degree
PROF_19,SUBJECT:Granada Publications,Teaches
PROF_19,SUBJECT:Laws,Teaches
PROF_20,ORG:Institute Of Directors,Studied at
PROF_20,ORG:London School Of Economics And Political Science,Studied at
PROF_20,ORG:Universidad Comercial De Deusto,Studied at
PROF_20,ORG:Universidad Pontificia Comillas,Studied at
PROF_20,SUBJECT:Business Administration,Teaches
PROF_20,SUBJECT:Directors-Administrators Diploma,Teaches
PROF_20,SUBJECT:Economics and Political Science,Teaches
PROF_20,ORG:Alanka Capital,Worked at
PROF_20,ORG:Banca March,Worked at
PROF_20,ORG:Ccenture & Andersen Consulting,Worked at
PROF_20,ORG:El Corte Inglés Group,Worked at
PROF_20,ORG:Management Consulting,Worked at
PROF_20,LOC:Africa,Worked in
PROF_20,LOC:Israel,Worked in
PROF_20,LOC:Latin America,Worked in
PROF_20,LOC:Portugal,Worked in
PROF_20,LOC:Spain,Worked in
PROF_21,ORG:Telecommunications Engineering,Studied at
PROF_21,ORG:Universidad De Sevilla,Studied at
PROF_21,EDU:M.B.A,Has degree
PROF_21,EDU:MSc,Has degree
PROF_21,EDU:Master in Business Administration,Has degree
PROF_21,SUBJECT:Business Administration,Teaches
PROF_21,SUBJECT:Telecommunications Engineering,Teaches
PROF_21,ORG:Ajasol Inversiones De Capital Scr,Worked at
PROF_21,ORG:Alestis Aerospace,Worked at
PROF_21,ORG:Aparcamientos Urbanos De Sevilla,Worked at
PROF_21,ORG:Arte Información Y Gestión,Worked at
PROF_21,ORG:At4 Wireless,Worked at
PROF_21,ORG:Ca Cívica,Worked at
PROF_21,ORG:Corporación Empresarial Cajasol,Worked at
PROF_21,ORG:Cuela Superior De Hostelería De Sevilla,Worked at
PROF_21,ORG:Gua Y Gestión,Worked at
PROF_21,ORG:Isolux Corsán Concesiones,Worked at
PROF_21,ORG:Isolux Wat Ingeniería,Worked at
PROF_21,ORG:J. García Carrión,Worked at
PROF_21,ORG:Red De Banda Ancha Andalucía,Worked at
PROF_21,ORG:Sevilla Seed Capital,Worked at
PROF_21,ORG:Villa Urban Planning Office,Worked at
PROF_22,ORG:Interactive Telecommunications,Studied at
PROF_22,ORG:Pontifical Catholic University Of Rio,Studied at
PROF_22,SUBJECT:Interactive Telecommunications,Teaches
PROF_22,SUBJECT:Rio de Janeiro,Teaches
PROF_23,ORG:Autopista Madrid,Studied at
PROF_23,ORG:Eu Legis,Studied at
PROF_23,ORG:Mag Import,Studied at
PROF_23,ORG:Universidad Autónoma De Madrid,Studied at
PROF_23,EDU:PhD,Has degree
PROF_23,SUBJECT:Civil Law,Teaches
PROF_23,SUBJECT:July,Teaches
PROF_23,SUBJECT:March,Teaches
PROF_23,SUBJECT:September,Teaches
PROF_24,ORG:& Financial,Studied at
PROF_24,ORG:Georgetown University Law Center,Studied at
PROF_24,ORG:Universidad Carlos III de Madrid,Studied at
PROF_24,EDU:LL.M,Has degree
PROF_24,SUBJECT:Business Administration,Teaches
PROF_24,SUBJECT:Law,Teaches
PROF_24,ORG:Banking & Finance Department,Worked at
PROF_24,ORG:Deutsche Pfandbfriefbank Ag,Worked at
PROF_24,ORG:Financial & Fiscal Law Unit,Worked at
PROF_24,ORG:Gómez Acebo & Pombo Abogados,Worked at
PROF_24,ORG:International Monetary Fund,Worked at
PROF_24,ORG:Legal Department,Worked at
PROF_24,LOC:Spain,Worked in
PROF_25,ORG:Applied Social Research And Data Analysis,Studied at
PROF_25,ORG:Centro De Investigaciones Sociológicas,Studied at
PROF_25,ORG:Universidad Autónoma De Madrid,Studied at
PROF_25,ORG:Universidad Autónoma de Madrid,Studied at
PROF_25,EDU:Ph.D,Has degree
PROF_25,SUBJECT:Applied Social Research and Data Analysis,Teaches
PROF_25,SUBJECT:Political Science,Teaches
PROF_25,SUBJECT:Psychology,Teaches
PROF_25,ORG:Big Wave Analytics,Worked at
PROF_25,LOC:Spain,Worked in
PROF_26,ORG:Universidad Autónoma de Madrid,Studied at
PROF_26,EDU:Bachelor in Computer Science,Has degree
PROF_26,EDU:Ph.D,Has degree
PROF_26,SUBJECT:Computer Science,Teaches
PROF_26,ORG:Instituto De Ingeniería Del Conoc,Worked at
PROF_26,ORG:Spanish Council For Scientific Research,Worked at
PROF_26,LOC:Komore,Worked in
PROF_26,LOC:Spain,Worked in
PROF_27,ORG:Deloitte University,Studied at
PROF_27,ORG:Harvard Extension Program,Studied at
PROF_27,ORG:Property Finance And Investments,Studied at
PROF_27,ORG:Ramon Llull University,Studied at
PROF_27,ORG:Arthur Andersen,Worked at
PROF_27,ORG:M & A Corporate Finance,Worked at
PROF_27,ORG:Real Estate,Worked at
PROF_27,LOC:Spain,Worked in
PROF_28,ORG:Ructural Engineering,Studied at
PROF_28,ORG:Universidad Politécnica De Madrid,Studied at
PROF_28,ORG:University Of Cambridge,Studied at
PROF_28,ORG:University Of Oxford,Studied at
PROF_28,EDU:PhD,Has degree
PROF_28,SUBJECT:Cambridge,Teaches
PROF_28,SUBJECT:Engineering,Teaches
PROF_28,SUBJECT:Mechanics of Historic Structures,Teaches
PROF_28,SUBJECT:Oxford,Teaches
PROF_28,SUBJECT:Seismic Behavior of Historic Masonry Structures,Teaches
PROF_28,ORG:Ecosistema Urbano,Worked at
PROF_28,ORG:Mecanismo Diseño Y Cálculo De E,Worked at
PROF_28,LOC:London,Worked in
PROF_28,LOC:Madrid,Worked in
PROF_28,LOC:Nepal,Worked in
PROF_29,ORG:Centro De Est,Studied at
PROF_29,ORG:Hr Management,Studied at
PROF_29,ORG:Law University Of Granada,Studied at
PROF_29,EDU:Master in HR Management,Has degree
PROF_29,EDU:Master in Legal Advice,Has degree
PROF_29,EDU:Ph.D,Has degree
PROF_29,SUBJECT:Granada,Teaches
PROF_29,SUBJECT:HR Management,Teaches
PROF_29,SUBJECT:Legal Advice,Teaches
PROF_29,ORG:Labor Area,Worked at
PROF_29,ORG:Labor Relations,Worked at
PROF_29,ORG:Legal Department,Worked at
PROF_29,LOC:Abogados,Worked in
PROF_29,LOC:Amazon,Worked in
PROF_29,LOC:Max,Worked in
PROF_29,LOC:Spain,Worked in
PROF_29,LOC:Vodafone,Worked in
PROF_30,EDU:Ph.D,Has degree
PROF_30,SUBJECT:Physics,Teaches
PROF_30,ORG:Digital Transformation,Worked at
PROF_30,ORG:Galeo Tech,Worked at
PROF_30,ORG:R & D Department,Worked at
PROF_30,LOC:Envir,Worked in
PROF_30,LOC:Tis,Worked in
PROF_31,ORG:Msc Electronics,Studied at
PROF_31,ORG:Satellite Technology,Studied at
PROF_31,ORG:Universidad Complutense,Studied at
PROF_31,ORG:Universidad Politécnica,Studied at
PROF_31,EDU:MBA,Has degree
PROF_31,EDU:MSc,Has degree
PROF_31,ORG:& Design,Worked at
PROF_31,ORG:Gtd Science Infrastructures & Robotics,Worked at
PROF_31,ORG:Gtd Sistemas De Información,Worked at
PROF_31,ORG:Hhb Communications,Worked at
PROF_31,ORG:R &,Worked at
PROF_31,LOC:Barbara,Worked in
PROF_31,LOC:Spain,Worked in
PROF_32,ORG:Real Estate M & A Finance,Studied at
PROF_32,ORG:Universidad Politécnica De Madrid,Studied at
PROF_32,EDU:Master in Architecture,Has degree
PROF_32,SUBJECT:Architecture,Teaches
PROF_32,ORG:Hipoges Iberia,Worked at
PROF_32,ORG:Iberia Development,Worked at
PROF_32,ORG:Isg Plc,Worked at
PROF_32,ORG:Siemens Gamesa,Worked at
PROF_32,LOC:Africa,Worked in
PROF_32,LOC:Dra,Worked in
PROF_32,LOC:Kle,Worked in
PROF_32,LOC:Madrid,Worked in
PROF_32,LOC:South Europe,Worked in
PROF_33,ORG:Economics & Business,Studied at
PROF_33,EDU:Bachelor in Economics & Business Administration,Has degree
PROF_33,EDU:MBA,Has degree
PROF_33,SUBJECT:Economics & Business Administration,Teaches
PROF_33,SUBJECT:IE Business School,Teaches
PROF_33,ORG:Protea Renovables,Worked at
PROF_33,ORG:Uran Habitat,Worked at
PROF_33,ORG:Vinci Energies Spain,Worked at
PROF_33,LOC:Spain,Worked in
PROF_34,ORG:Academic Bac,Studied at
PROF_34,ORG:O University,Studied at
PROF_34,EDU:MBA,Has degree
PROF_34,EDU:PhD,Has degree
PROF_34,SUBJECT:Business Administration,Teaches
PROF_34,LOC:Spain,Worked in
PROF_35,ORG:Behavioral And Health Sciences,Studied at
PROF_35,ORG:Escuela De Organización Industrial,Studied at
PROF_35,ORG:Universidad Autónoma De Madrid,Studied at
PROF_35,EDU:Master in Business Administration and Entrepreneurship,Has degree
PROF_35,EDU:Master in Methodology of Behavioral and Health Sciences,Has degree
PROF_35,EDU:PhD,Has degree
PROF_35,SUBJECT:Business Administration and Entrepreneurship,Teaches
PROF_35,SUBJECT:Methodology of Behavioral and Health Sciences,Teaches
PROF_35,SUBJECT:Psychology,Teaches
PROF_35,ORG:Forensic And Security Sciences Institute,Worked at
PROF_35,ORG:Universidad Autónoma de Madrid,Worked at
PROF_35,LOC:Ber,Worked in
PROF_35,LOC:Spain,Worked in
PROF_36,ORG:Harvard Business School,Studied at
PROF_36,ORG:Texas A & M University,Studied at
PROF_36,ORG:Universidad Autónoma De Madrid,Studied at
PROF_36,EDU:PhD,Has degree
PROF_36,SUBJECT:Chemistry,Teaches
PROF_36,ORG:Altran Group,Worked at
PROF_36,ORG:Daemon Quest,Worked at
PROF_36,ORG:Deloitte Digital,Worked at
PROF_36,ORG:Frog Design,Worked at
PROF_36,ORG:Innovation Practice,Worked at
PROF_36,LOC:Elux,Worked in
PROF_36,LOC:Spain,Worked in
PROF_37,ORG:Al O,Studied at
PROF_37,ORG:And International Relations,Studied at
PROF_37,ORG:Autonoma University Of Madrid,Studied at
PROF_37,ORG:Cloud Computing,Studied at
PROF_37,ORG:Csa Es,Studied at
PROF_37,ORG:Csa Spanish Chapter,Studied at
PROF_37,ORG:Data Protection Factbook,Studied at
PROF_37,ORG:Datos Personales,Studied at
PROF_37,ORG:Editorial Lefebvre,Studied at
PROF_37,ORG:El Der,Studied at
PROF_37,ORG:El Derecho,Studied at
PROF_37,ORG:Information Technology,Studied at
PROF_37,ORG:La Catarata,Studied at
PROF_37,ORG:La Com,Studied at
PROF_37,ORG:La Inform,Studied at
PROF_37,ORG:Startup Lawyers Program,Studied at
PROF_37,ORG:Thomson Aranzadi,Studied at
PROF_37,ORG:Ual Property,Studied at
PROF_37,ORG:Universidad Carlos III de Madrid,Studied at
PROF_37,ORG:Universidad Complutense De Madrid Llm,Studied at
PROF_37,ORG:Universidad Complutense de Madrid,Studied at
PROF_37,ORG:Universidad De Santiago De Compostela Llm,Studied at
PROF_37,ORG:Universidad Pontificia Comillas,Studied at
PROF_37,ORG:University Of Navarra,Studied at
PROF_37,EDU:LLM,Has degree
PROF_37,SUBJECT:Cloud Computing,Teaches
PROF_37,SUBJECT:Information Technology Academic Director of the Startup Lawyers Program,Teaches
PROF_37,SUBJECT:International Law and International Relationships,Teaches
PROF_37,SUBJECT:Internet,Teaches
PROF_37,SUBJECT:Legal Practice,Teaches
PROF_37,SUBJECT:Navarra,Teaches
PROF_37,SUBJECT:New Technologies Law,Teaches
PROF_38,ORG:Fi Escuela De Finanzas,Studied at
PROF_39,ORG:Cuela De Arquitectura,Studied at
PROF_39,ORG:Harvard University,Studied at
PROF_39,ORG:Universidad De Alcal,Studied at
PROF_39,ORG:Universidad Politécnica De Madrid,Studied at
PROF_39,EDU:Master in Design Studies,Has degree
PROF_39,EDU:Ph.D,Has degree
PROF_39,SUBJECT:America,Teaches
PROF_39,SUBJECT:Architecture,Teaches
PROF_39,SUBJECT:Design Studies,Teaches
PROF_39,ORG:As Ábalos Sentkiewicz,Worked at
PROF_39,ORG:Colegio Oficial De Arquitectos De Madrid,Worked at
PROF_39,ORG:Estudio Herreros,Worked at
PROF_39,ORG:Ábalos & Herreros,Worked at
PROF_39,LOC:Madrid,Worked in
PROF_39,LOC:Spain,Worked in
PROF_40,ORG:And Ethnicity Studies,Studied at
PROF_40,ORG:Universidad De Granada,Studied at
PROF_40,ORG:University Of Lodz,Studied at
PROF_40,ORG:Utrecht University,Studied at
PROF_40,EDU:Ph.D,Has degree
PROF_40,SUBJECT:Gender and Ethnicity Studies,Teaches
PROF_40,SUBJECT:International Relations,Teaches
PROF_40,SUBJECT:Lodz,Teaches
PROF_40,SUBJECT:Social Sciences,Teaches
PROF_42,ORG:University Of Pisa,Studied at
PROF_42,SUBJECT:Building Engineer and Architecture,Teaches
PROF_42,SUBJECT:Pisa,Teaches
PROF_43,ORG:Belgian American Educational Foundation,Studied at
PROF_43,ORG:Bility Lears,Studied at
PROF_43,ORG:Boston University,Studied at
PROF_43,ORG:Cambridge University,Studied at
PROF_43,ORG:Chartered Governance Institute,Studied at
PROF_43,ORG:Chartered Governance Professional,Studied at
PROF_43,ORG:Computer Information Systems,Studied at
PROF_43,ORG:Geneva School Of Diplomacy & International Relations,Studied at
PROF_43,ORG:Harvard Business School,Studied at
PROF_43,ORG:Institute Of Directors,Studied at
PROF_43,ORG:Management And Business Administration,Studied at
PROF_43,ORG:Nacd Board,Studied at
PROF_43,ORG:National Association Of Corporate Directors,Studied at
PROF_43,ORG:Singapore Institute Of Directors,Studied at
PROF_43,ORG:Stanford Directors Consortium,Studied at
PROF_43,ORG:Strategy & Finance,Studied at
PROF_43,ORG:University Of Cambridge,Studied at
PROF_43,ORG:University Of London,Studied at
PROF_43,EDU:Doctor of International Relations,Has degree
PROF_43,EDU:MBA,Has degree
PROF_43,EDU:MSc,Has degree
PROF_43,EDU:PhD,Has degree
PROF_43,SUBJECT:Cambridge,Teaches
PROF_43,SUBJECT:Corporate Directors,Teaches
PROF_43,SUBJECT:Diplomacy & International Relations,Teaches
PROF_43,SUBJECT:Directors,Teaches
PROF_43,SUBJECT:Directorship,Teaches
PROF_43,SUBJECT:International Relations,Teaches
PROF_43,ORG:& Strategy,Worked at
PROF_43,ORG:Aifc Acamic Council,Worked at
PROF_43,ORG:Ance & Stewards,Worked at
PROF_43,ORG:Committee Of Managing Directors,Worked at
PROF_43,ORG:International Financial Centre,Worked at
PROF_43,ORG:Kazakhstan Development Bank,Worked at
PROF_43,ORG:Lakewell Capital Partners,Worked at
PROF_43,ORG:Mckinsey & Company,Worked at
PROF_43,ORG:National Bank Of Kazakhstan,Worked at
PROF_43,ORG:National Investment Corporation,Worked at
PROF_43,ORG:Processes & Applications,Worked at
PROF_43,ORG:S & P Global,Worked at
PROF_43,ORG:Shell International,Worked at
PROF_43,ORG:Strategic For,Worked at
PROF_43,ORG:Sustainable Foresight Institute,Worked at
PROF_43,ORG:World Economic Forum,Worked at
PROF_43,LOC:Tana,Worked in
PROF_44,ORG:Esso Benel,Worked at
PROF_44,ORG:Fundación Mutualidad Abogacía,Worked at
PROF_44,ORG:Gna Cum Lau,Worked at
PROF_44,ORG:Nyenro Business University,Worked at
PROF_44,ORG:Petercam Derivatives Sa,Worked at
PROF_44,ORG:Petercam Sa,Worked at
PROF_44,ORG:University Of Gibraltar,Worked at
PROF_44,ORG:University Of London,Worked at
PROF_44,ORG:Vlerick Business School,Worked at
PROF_44,LOC:Belgium,Worked in
PROF_44,LOC:Netherlands,Worked in
PROF_44,LOC:Spain,Worked in
PROF_44,LOC:The Netherlands,Worked in
PROF_45,ORG:Boston University,Studied at
PROF_45,ORG:Facultad De Derecho De La Universidad De Alcalá De Henar,Studied at
PROF_45,ORG:Saint Thomas University,Studied at
PROF_45,ORG:Saint Thomas University School Of Law,Studied at
PROF_45,EDU:B.A,Has degree
PROF_45,EDU:Bachelor in Arts,Has degree
PROF_45,EDU:Doctor of Jurisprudence,Has degree
PROF_45,EDU:LL.M,Has degree
PROF_45,EDU:Master in Spanish Law for Foreign Lawyers,Has degree
PROF_45,SUBJECT:Arts,Teaches
PROF_45,SUBJECT:Jurisprudence,Teaches
PROF_45,SUBJECT:Laws,Teaches
PROF_45,SUBJECT:Political Science and Biology,Teaches
PROF_45,SUBJECT:Spanish Law for Foreign Lawyers,Teaches
PROF_45,ORG:Federal Defender S Office,Worked at
PROF_45,ORG:General S Office,Worked at
PROF_45,ORG:Greater Boston Legal Services,Worked at
PROF_45,ORG:Harvard Institute Of Public Policy,Worked at
PROF_45,ORG:Harvard Medical School,Worked at
PROF_45,ORG:Harvard University,Worked at
PROF_45,ORG:Keefe & Mercado,Worked at
PROF_45,ORG:Medical Ethics Division,Worked at
PROF_45,ORG:Mercado &,Worked at
PROF_45,ORG:Office Of The General Council,Worked at
PROF_45,ORG:Peckham Lobel Casey Prince & Tye,Worked at
PROF_45,LOC:Boston,Worked in
PROF_45,LOC:Cambridge,Worked in
